top100_sales_volume_position,ListOfficeName,transaction_count,total_sales_volume,median_close_price,median_price_per_sqft,average_days_on_market,median_days_on_market,average_price_ratio,average_original_price_ratio,average_listing_to_contract_days,average_contract_to_close_days,transaction_share_pct,sales_volume_share_pct,transaction_count_rank,sales_volume_rank
91,BHHS CA Properties,591,721379586.0,980000.0,573.48,32.17,14.0,0.9991,0.9991,43.28,30.13,0.13209803,0.1352442,88,91
92,RICHMOND AMERICAN HOMES,1088,713539419.0,634682.5,274.85,84.55,65.5,0.9991,1.553,93.09,54.87,0.24318555,0.13377432,38,92
93,Yavorsky Properties Of Bonita,20,682198000.0,873000.0,495.88,25.35,17.0,45.2124,38.715,28.05,28.25,0.00447032,0.12789844,2368,93
94,Century 21 Allstars,948,672749061.0,670000.0,532.5,34.29,19.0,1.0064,1.7519,47.73,39.08,0.21189329,0.12612695,50,94
95,David Lyng Real Estate,488,669161528.0,1200000.0,776.13,37.31,17.0,0.9988,0.978,36.83,26.21,0.10907587,0.12545436,114,95
96,Village Associates Real Estate,324,666346390.0,1847000.0,782.68,22.6,10.0,1.019,1.0074,23.42,22.85,0.07241923,0.12492658,179,96
97,eXp Realty of Southern CA,542,650347260.0,950000.0,543.27,29.15,13.0,0.9937,0.9797,55.58,29.88,0.12114574,0.12192706,97,97
98,Pardee Properties,316,647287180.0,1828923.5,1006.16,36.31,22.0,1.0018,0.9852,37.85,31.3,0.0706311,0.12135336,185,98
99,CA-RES,148,633719229.0,710000.0,503.14,27.25,14.0,7.9589,7.9537,43.51,36.03,0.03308039,0.11880964,418,99
100,HomeSmart,1083,629049435.0,505000.0,305.03,64.86,51.0,0.9789,3.6063,74.65,16.44,0.24206797,0.11793415,40,100
