ListOfficeName,transaction_count,total_sales_volume,median_close_price,median_price_per_sqft,average_days_on_market,median_days_on_market,average_price_ratio,average_original_price_ratio,average_listing_to_contract_days,average_contract_to_close_days,transaction_share_pct,sales_volume_share_pct,transaction_count_rank,sales_volume_rank
"Carol Kemp, Broker",18,17187200.0,945000.0,498.04,76.94,20.0,0.9524,0.9239,92.17,28.17,0.00402329,0.00322226,2568,2601
Golden Empire Realty,16,17186000.0,1010000.0,498.17,17.19,10.5,0.9717,0.9603,19.75,27.31,0.00357626,0.00322203,2824,2602
Origin,14,17173200.0,760000.0,628.18,41.57,22.0,0.9726,0.9608,74.71,50.64,0.00312923,0.00321963,3148,2603
Pacific Coast Real Estate,17,17168000.0,920000.0,638.0,37.24,12.0,0.9832,0.9672,42.88,27.71,0.00379977,0.00321866,2693,2604
Jack Posemsky Real Estate,19,17159490.0,867000.0,615.69,65.37,30.0,0.9785,0.9472,77.53,29.11,0.00424681,0.00321706,2472,2605
Burrows Real Estate Company,20,17154000.0,847500.0,578.01,39.6,29.5,0.9784,0.958,45.55,31.7,0.00447032,0.00321603,2368,2606
Engel & Voelkers Westlake,8,17153888.0,1600000.0,684.39,60.62,36.0,0.981,2.1099,61.38,26.12,0.00178813,0.00321601,4808,2607
Prime Properties,29,17149506.0,480000.0,306.92,73.31,43.0,0.9846,0.9583,78.79,50.28,0.00648197,0.00321519,1757,2608
Mint Properties,25,17129000.0,600000.0,395.41,51.96,35.0,0.9932,0.9688,57.76,32.92,0.0055879,0.00321134,1976,2609
Denton Properties Inc.,4,17120000.0,2360000.0,854.97,91.5,57.5,1.0,0.9245,94.25,16.75,0.00089406,0.00320966,7515,2610
REALIV,16,17119300.0,1087500.0,540.71,22.5,19.5,1.0518,1.0414,28.0,34.44,0.00357626,0.00320953,2824,2611
Camden McKay Realty,15,17113000.0,1150000.0,673.58,37.53,15.0,0.9949,0.9796,39.13,30.0,0.00335274,0.00320834,2970,2612
Foster Douglas,12,17110000.0,1352500.0,653.79,26.58,12.5,0.994,0.9837,28.5,28.33,0.00268219,0.00320778,3540,2613
Maxximum Realty Inc,25,17106000.0,615000.0,462.64,42.04,14.0,0.9593,0.9483,53.68,40.88,0.0055879,0.00320703,1976,2614
Classic Design Properties,8,17105000.0,2150000.0,822.57,72.25,64.5,0.9749,0.9286,76.25,35.0,0.00178813,0.00320684,4808,2615
Horizon Realty & Property Mgt,19,17097150.0,875000.0,591.64,84.47,69.0,0.9717,0.9243,88.95,30.26,0.00424681,0.00320537,2472,2616
Silversage Realty Inc,8,17080888.0,1620000.0,1087.97,48.12,8.0,1.0183,0.9931,27.62,27.12,0.00178813,0.00320232,4808,2617
Peek Realty,20,17072000.0,768500.0,601.21,39.7,14.5,0.9824,0.914,54.8,35.2,0.00447032,0.00320066,2368,2618
"Shamrock, REALTORS?",20,17063388.0,846944.0,656.82,23.25,10.5,1.0136,1.0096,23.25,31.05,0.00447032,0.00319904,2368,2619
Jones Harris Realty,18,17059999.0,832500.0,536.36,22.11,11.0,1.0077,1.0045,22.94,23.72,0.00402329,0.00319841,2568,2620
Triumph Real Estate Solutions,18,17055500.0,925000.0,597.42,37.28,22.5,0.9918,0.9945,41.67,35.56,0.00402329,0.00319756,2568,2621
Prime Realty and Loans Inc.,13,17045000.0,1285000.0,655.83,27.77,7.0,1.007,0.9925,30.92,41.15,0.00290571,0.0031956,3339,2622
Palisade Realty Inc.,18,17038700.0,874350.0,458.33,46.33,18.5,1.0005,0.9804,63.06,30.39,0.00402329,0.00319441,2568,2623
Casa Bella Realty Group,19,17037000.0,706000.0,579.64,57.79,26.0,0.9935,0.9838,62.05,30.37,0.00424681,0.0031941,2472,2624
"Michael VaVerka, Broker",29,17010900.0,480000.0,267.67,51.1,37.0,0.9982,0.9931,51.34,33.69,0.00648197,0.0031892,1757,2625
"Joe Kapp Real Estate, Inc",20,17009000.0,835000.0,627.57,45.1,6.0,0.9853,0.9649,51.15,35.2,0.00447032,0.00318885,2368,2626
Premier Property Solutions,1,17000000.0,17000000.0,1639.5,301.0,301.0,0.7556,0.7556,356.0,96.0,0.00022352,0.00318716,13484,2627
Laguna Coast Real Estate,6,16995000.0,2485000.0,1354.08,121.67,107.0,0.9046,1.0404,126.33,39.67,0.0013411,0.00318622,5843,2628
"Trust Properties USA, Inc",23,16992881.0,635000.0,436.36,28.7,15.0,1.0705,1.037,29.52,29.7,0.00514087,0.00318582,2103,2629
1000 Realty Corporation,22,16982800.0,670000.0,371.7,45.32,20.5,0.9934,0.9899,50.91,32.64,0.00491735,0.00318393,2171,2630
Thunderbird Realty,11,16981000.0,1000000.0,365.3,65.82,36.0,1.0016,0.9867,88.18,5.09,0.00245868,0.0031836,3778,2631
Atlas Realty Group,18,16973500.0,609000.0,377.06,40.44,22.5,1.4996,1.9917,77.11,34.17,0.00402329,0.00318219,2568,2632
"Kenneth A. Kremer, Broker",14,16964888.0,1029444.0,618.6,14.21,11.0,1.0147,1.0147,15.29,24.43,0.00312923,0.00318058,3148,2633
Monument Realty,16,16949750.0,858375.0,689.74,47.12,19.0,0.9995,0.9835,47.75,29.62,0.00357626,0.00317774,2824,2634
Better Homes and Gardens RE Reliance,8,16943000.0,1675000.0,1135.13,19.5,12.0,1.0668,1.0542,12.25,23.12,0.00178813,0.00317647,4808,2635
Community Realty & Investment,19,16929600.0,725000.0,553.68,36.74,24.0,1.0583,1.0289,41.26,24.68,0.00424681,0.00317396,2472,2636
Realty Executives Temecula,30,16914799.0,535500.0,338.31,57.93,36.5,0.9832,0.9533,65.87,34.03,0.00670548,0.00317119,1700,2637
Beach Team,14,16913000.0,1206500.0,682.26,13.64,7.0,0.9967,0.9967,16.21,25.5,0.00312923,0.00317085,3148,2638
Woodson Realty,19,16904000.0,745000.0,473.65,17.95,13.0,0.9914,0.9775,21.0,33.58,0.00424681,0.00316916,2472,2639
"Strombom Properties, Inc.",6,16897000.0,2710000.0,957.22,20.17,15.0,0.9934,0.9934,22.0,31.5,0.0013411,0.00316785,5843,2640
Arzuman Brothers,6,16855250.0,2913250.0,963.48,41.17,9.5,0.9918,0.9631,46.5,28.67,0.0013411,0.00316002,5843,2641
