top100_sales_volume_position,BuyerOfficeName,transaction_count,total_sales_volume,median_close_price,median_price_per_sqft,average_days_on_market,median_days_on_market,average_price_ratio,average_original_price_ratio,average_listing_to_contract_days,average_contract_to_close_days,transaction_share_pct,sales_volume_share_pct,transaction_count_rank,sales_volume_rank
88,Luxury Collective,838,687990549.0,710000.0,489.49,40.78,24.0,1.0008,0.9828,48.03,37.23,0.18730652,0.12898442,55,91
89,Willis Allen Real Estate,392,681379542.0,1300500.0,753.06,28.65,16.0,0.9889,1.0004,38.49,27.8,0.08761832,0.12774499,142,92
90,Keller Williams Pacific Estate,743,678819936.0,825000.0,607.66,29.82,15.0,1.0208,1.0133,39.66,33.23,0.16607249,0.12726512,65,93
91,Allison James Estates & Homes,795,675837553.0,685000.0,366.55,44.07,22.0,0.9918,2.2036,55.21,32.27,0.17769533,0.12670598,62,94
92,RE/MAX Accord,633,665633250.0,850000.0,573.02,27.86,14.0,1.0099,0.9927,28.76,25.15,0.14148571,0.12479288,78,95
93,Pardee Properties,330,645380160.0,1556000.0,914.73,41.87,24.0,1.0001,27631.2815,45.75,30.07,0.07376032,0.12099583,180,96
94,San Diego Realty Pro,11,632289000.0,795000.0,595.16,43.27,31.0,88.9998,88.9802,51.0,23.82,0.00245868,0.1185415,3652,97
95,The GRUBB Company,356,631458314.0,1545000.0,796.99,21.38,13.0,1.1846,1.1771,21.86,20.56,0.07957174,0.11838576,167,98
96,Keller Williams Realty-Silicon Valley,387,629679504.0,1410000.0,872.76,24.07,11.0,1.053,1.0462,24.96,25.71,0.08650074,0.11805227,146,99
97,Keller Williams Palo Alto,285,623012564.0,1800000.0,1118.83,20.36,9.0,1.0609,1.0618,20.97,25.02,0.0637021,0.11680235,210,100
98,Circle Real Estate,841,622193108.0,695000.0,544.41,35.61,19.0,1.0208,1.0141,45.57,34.89,0.18797707,0.11664872,53,101
99,Deleon Realty,120,617814638.0,4300500.0,1690.38,30.45,9.0,1.0368,1.0285,29.89,22.8,0.02682194,0.11582785,513,102
100,Wells Estates,6,617528000.0,850000.0,645.23,34.33,20.0,158.2538,158.2485,38.17,27.17,0.0013411,0.11577411,5737,103
